Get called at C:\Users\Markk\source\repos\WebApplication1\WebApplication1\bin\Debug\net7.0\WebApplication1.exe
Get called at 01/01/0001 0.00.00 System.Collections.Hashtable
Get called at 22/08/2023 12.42.30 System.Collections.Hashtable
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.10
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.11
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.12
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.13
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.13
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.14
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.15
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.16
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.17
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.17
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.18
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.19
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.20
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.21
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.22
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.22
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.23
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.24
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.25
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.26
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.26
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.27
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.28
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.29
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.30
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.31
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.31
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.32
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.33
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.34
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.35
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.35
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.36
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.37
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.38
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.39
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.40
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.40
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.41
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.42
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.43
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.44
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.44
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.45
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.46
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.47
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.48
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.49
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.49
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.50
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.51
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.52
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.53
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.53
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.54
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.55
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.56
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.57
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.58
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.58
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.31.59
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.32.00
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.32.01
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.32.02
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.32.02
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.32.03
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.32.04
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.32.05
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.32.06
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.32.07
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.32.07
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.32.08
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.32.09
Request from: http://localhost:52411/WeatherForecast at 22/08/2023 13.32.10
